‚`‚m‚`,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2022-01-28,00:00:00, 2346.5, 2377.5, 2335.5, 2370.5, 2579300, 0
2022-01-27,00:00:00, 2387.5, 2402.5, 2320.5, 2329.5, 3605300, 0
2022-01-26,00:00:00, 2385.5, 2405, 2369, 2376, 2203700, 0
2022-01-25,00:00:00, 2420, 2425, 2365.5, 2385.5, 3159300, 0
2022-01-24,00:00:00, 2438.5, 2443.5, 2404, 2433, 3178700, 0
2022-01-21,00:00:00, 2341, 2448, 2334.5, 2448, 4825700, 0
2022-01-20,00:00:00, 2328, 2367, 2317, 2360, 3186300, 0
2022-01-19,00:00:00, 2368, 2390.5, 2356.5, 2360, 3060900, 0
2022-01-18,00:00:00, 2413, 2429, 2383.5, 2392.5, 2635800, 0
2022-01-17,00:00:00, 2380, 2415.5, 2378, 2401.5, 2092600, 0
2022-01-14,00:00:00, 2400, 2423.5, 2370.5, 2384, 3538800, 0
2022-01-13,00:00:00, 2406, 2415, 2386.5, 2386.5, 2167500, 0
2022-01-12,00:00:00, 2420, 2441.5, 2404, 2419, 3498400, 0
2022-01-11,00:00:00, 2386, 2404, 2351.5, 2395.5, 3951000, 0
2022-01-07,00:00:00, 2348, 2386.5, 2340, 2372, 3830800, 0
2022-01-06,00:00:00, 2366, 2373.5, 2335.5, 2355, 4995200, 0
2022-01-05,00:00:00, 2450, 2452, 2412.5, 2413, 4012800, 0
2022-01-04,00:00:00, 2443, 2445, 2411, 2442.5, 3641100, 0
2021-12-30,00:00:00, 2408, 2418, 2395, 2404.5, 2638400, 0
2021-12-29,00:00:00, 2417, 2438, 2409, 2438, 3006700, 0
2021-12-28,00:00:00, 2368.5, 2412.5, 2367.5, 2397, 3381100, 0
2021-12-27,00:00:00, 2380, 2385.5, 2352, 2376, 2566000, 0
2021-12-24,00:00:00, 2418.5, 2423.5, 2380.5, 2383, 2897100, 0
2021-12-23,00:00:00, 2350, 2398.5, 2347.5, 2394.5, 3971200, 0
2021-12-22,00:00:00, 2358, 2372, 2332, 2340, 4021600, 0
2021-12-21,00:00:00, 2332.5, 2344.5, 2303.5, 2313, 3587900, 0
2021-12-20,00:00:00, 2328, 2349, 2300, 2302, 3032600, 0
2021-12-17,00:00:00, 2313, 2349.5, 2310, 2340.5, 3069200, 0
2021-12-16,00:00:00, 2327, 2361, 2325.5, 2360.5, 3085200, 0
2021-12-15,00:00:00, 2295.5, 2342, 2291.5, 2329, 3053500, 0
2021-12-14,00:00:00, 2290, 2329.5, 2284, 2302, 5776000, 0
2021-12-13,00:00:00, 2375.5, 2388, 2336.5, 2364, 3345100, 0
2021-12-10,00:00:00, 2399.5, 2418, 2361, 2378, 4290100, 0
2021-12-09,00:00:00, 2416, 2451.5, 2395.5, 2397.5, 5712900, 0
2021-12-08,00:00:00, 2405, 2417, 2374, 2390, 4645100, 0
2021-12-07,00:00:00, 2371.5, 2392, 2330, 2389.5, 6588400, 0
2021-12-06,00:00:00, 2300, 2349, 2296.5, 2301.5, 6344800, 0
2021-12-03,00:00:00, 2264.5, 2327, 2251, 2321.5, 7990000, 0
2021-12-02,00:00:00, 2200, 2259, 2175, 2208, 8551900, 0
2021-12-01,00:00:00, 2234, 2263.5, 2200, 2247, 8617700, 0
2021-11-30,00:00:00, 2304.5, 2330, 2239.5, 2239.5, 11127500, 0
2021-11-29,00:00:00, 2261, 2347.5, 2253.5, 2264.5, 14208600, 0
2021-11-26,00:00:00, 2482, 2485, 2321, 2361, 15502200, 0
