“Œ“d—Í‚g‚c,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2022-01-28,00:00:00, 307, 323, 307, 323, 32900400, 0
2022-01-27,00:00:00, 308, 310, 303, 309, 14689200, 0
2022-01-26,00:00:00, 305, 308, 303, 307, 11408100, 0
2022-01-25,00:00:00, 300, 304, 297, 304, 19033700, 0
2022-01-24,00:00:00, 297, 303, 296, 301, 16074000, 0
2022-01-21,00:00:00, 290, 297, 288, 297, 15789300, 0
2022-01-20,00:00:00, 287, 294, 287, 291, 18916800, 0
2022-01-19,00:00:00, 291, 292, 285, 285, 21433500, 0
2022-01-18,00:00:00, 294, 295, 292, 294, 12035500, 0
2022-01-17,00:00:00, 295, 297, 293, 294, 8095500, 0
2022-01-14,00:00:00, 296, 296, 292, 294, 14139200, 0
2022-01-13,00:00:00, 299, 299, 295, 295, 7200000, 0
2022-01-12,00:00:00, 296, 299, 295, 297, 10700500, 0
2022-01-11,00:00:00, 294, 298, 292, 298, 12858600, 0
2022-01-07,00:00:00, 297, 298, 292, 294, 14237500, 0
2022-01-06,00:00:00, 299, 301, 296, 297, 11047300, 0
2022-01-05,00:00:00, 302, 306, 296, 298, 14648300, 0
2022-01-04,00:00:00, 301, 302, 298, 299, 10243200, 0
2021-12-30,00:00:00, 297, 299, 296, 297, 7881900, 0
2021-12-29,00:00:00, 292, 300, 292, 300, 14498800, 0
2021-12-28,00:00:00, 292, 295, 289, 290, 15449700, 0
2021-12-27,00:00:00, 297, 297, 292, 292, 12665900, 0
2021-12-24,00:00:00, 301, 302, 297, 297, 9631400, 0
2021-12-23,00:00:00, 301, 304, 300, 301, 7347100, 0
2021-12-22,00:00:00, 301, 302, 297, 301, 11343400, 0
2021-12-21,00:00:00, 304, 305, 300, 301, 9656400, 0
2021-12-20,00:00:00, 309, 310, 300, 300, 23677400, 0
2021-12-17,00:00:00, 308, 320, 308, 314, 30610300, 0
2021-12-16,00:00:00, 304, 308, 304, 308, 8079400, 0
2021-12-15,00:00:00, 300, 305, 299, 305, 7978600, 0
2021-12-14,00:00:00, 300, 304, 299, 302, 13850700, 0
2021-12-13,00:00:00, 307, 307, 299, 300, 16342700, 0
2021-12-10,00:00:00, 308, 311, 305, 306, 8081300, 0
2021-12-09,00:00:00, 306, 308, 303, 306, 8423400, 0
2021-12-08,00:00:00, 312, 313, 308, 308, 11451500, 0
2021-12-07,00:00:00, 313, 315, 310, 313, 11538100, 0
2021-12-06,00:00:00, 308, 314, 305, 310, 20827600, 0
2021-12-03,00:00:00, 306, 307, 294, 304, 27850800, 0
2021-12-02,00:00:00, 306, 310, 305, 306, 11841100, 0
2021-12-01,00:00:00, 303, 310, 303, 306, 12896300, 0
2021-11-30,00:00:00, 308, 313, 302, 303, 18241300, 0
2021-11-29,00:00:00, 308, 311, 304, 308, 12385100, 0
2021-11-26,00:00:00, 316, 317, 309, 312, 13536600, 0
2021-11-25,00:00:00, 309, 316, 305, 315, 9893900, 0
2021-11-24,00:00:00, 310, 317, 309, 311, 12504500, 0
2021-11-22,00:00:00, 308, 309, 305, 308, 7182600, 0
