“ŒƒKƒX,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2022-01-28,00:00:00, 2186, 2230, 2184, 2230, 1573100, 0
2022-01-27,00:00:00, 2245, 2245, 2180, 2200, 1707600, 0
2022-01-26,00:00:00, 2224, 2231, 2211, 2215, 976600, 0
2022-01-25,00:00:00, 2196, 2224, 2169, 2224, 1218000, 0
2022-01-24,00:00:00, 2230, 2243, 2211, 2222, 1580100, 0
2022-01-21,00:00:00, 2206, 2224, 2169, 2219, 1177100, 0
2022-01-20,00:00:00, 2199, 2225, 2189, 2192, 1789700, 0
2022-01-19,00:00:00, 2186, 2215, 2180, 2195, 1680500, 0
2022-01-18,00:00:00, 2210, 2218, 2188, 2195, 1046900, 0
2022-01-17,00:00:00, 2200, 2215, 2192, 2202, 1319000, 0
2022-01-14,00:00:00, 2185, 2198, 2164, 2197, 1680900, 0
2022-01-13,00:00:00, 2153, 2184, 2145, 2179, 1630100, 0
2022-01-12,00:00:00, 2155, 2164, 2121, 2133, 1109600, 0
2022-01-11,00:00:00, 2132, 2185, 2130, 2166, 2677600, 0
2022-01-07,00:00:00, 2081, 2104, 2077, 2104, 905100, 0
2022-01-06,00:00:00, 2111, 2117, 2077, 2089, 959800, 0
2022-01-05,00:00:00, 2091, 2091, 2064, 2084, 1047600, 0
2022-01-04,00:00:00, 2110, 2125, 2065, 2081, 1032400, 0
2021-12-30,00:00:00, 2059, 2073, 2052, 2062, 421200, 0
2021-12-29,00:00:00, 2079, 2082, 2052, 2061, 597100, 0
2021-12-28,00:00:00, 2045, 2077, 2045, 2065, 746900, 0
2021-12-27,00:00:00, 2062, 2064, 2036, 2042, 675100, 0
2021-12-24,00:00:00, 2093, 2093, 2062, 2066, 630200, 0
2021-12-23,00:00:00, 2091, 2098, 2071, 2085, 664300, 0
2021-12-22,00:00:00, 2096, 2106, 2087, 2090, 727500, 0
2021-12-21,00:00:00, 2105, 2119, 2099, 2108, 1084500, 0
2021-12-20,00:00:00, 2081, 2099, 2075, 2090, 993000, 0
2021-12-17,00:00:00, 2114, 2130, 2084, 2112, 2077600, 0
