“úŒo•½‹Ï,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2022-01-28,00:00:00, 26429.85, 26764.85, 26289.69, 26717.34, 0.00, 0.00
2022-01-27,00:00:00, 27139.88, 27193.59, 26044.52, 26170.30, 0.00, 0.00
2022-01-26,00:00:00, 27105.98, 27184.54, 26858.68, 27011.33, 0.00, 0.00
2022-01-25,00:00:00, 27466.82, 27493.75, 26890.94, 27131.34, 0.00, 0.00
2022-01-24,00:00:00, 27258.45, 27627.60, 27203.33, 27588.37, 0.00, 0.00
2022-01-21,00:00:00, 27404.36, 27586.42, 27129.61, 27522.26, 0.00, 0.00
2022-01-20,00:00:00, 27401.43, 27882.53, 27217.59, 27772.93, 0.00, 0.00
2022-01-19,00:00:00, 27928.89, 27958.17, 27314.41, 27467.23, 0.00, 0.00
2022-01-18,00:00:00, 28451.34, 28690.34, 28129.66, 28257.25, 0.00, 0.00
2022-01-17,00:00:00, 28332.72, 28449.99, 28274.18, 28333.52, 0.00, 0.00
2022-01-14,00:00:00, 28246.99, 28252.96, 27889.21, 28124.28, 0.00, 0.00
2022-01-13,00:00:00, 28658.22, 28660.45, 28444.96, 28489.13, 0.00, 0.00
2022-01-12,00:00:00, 28449.53, 28814.31, 28427.60, 28765.66, 0.00, 0.00
2022-01-11,00:00:00, 28380.90, 28473.47, 28089.49, 28222.48, 0.00, 0.00
2022-01-07,00:00:00, 28711.53, 28813.09, 28293.70, 28478.56, 0.00, 0.00
2022-01-06,00:00:00, 29136.75, 29158.95, 28487.87, 28487.87, 0.00, 0.00
2022-01-05,00:00:00, 29288.80, 29388.16, 29204.45, 29332.16, 0.00, 0.00
2022-01-04,00:00:00, 29098.41, 29323.79, 28954.56, 29301.79, 0.00, 0.00
2021-12-30,00:00:00, 28794.24, 28904.42, 28579.49, 28791.71, 0.00, 0.00
2021-12-29,00:00:00, 28995.73, 29106.28, 28729.61, 28906.88, 0.00, 0.00
2021-12-28,00:00:00, 28953.32, 29121.01, 28879.68, 29069.16, 0.00, 0.00
2021-12-27,00:00:00, 28786.33, 28805.28, 28658.82, 28676.46, 0.00, 0.00
2021-12-24,00:00:00, 28836.05, 28870.13, 28773.50, 28782.59, 0.00, 0.00
2021-12-23,00:00:00, 28703.01, 28798.37, 28640.15, 28798.37, 0.00, 0.00
2021-12-22,00:00:00, 28614.06, 28673.77, 28473.85, 28562.21, 0.00, 0.00
2021-12-21,00:00:00, 28309.60, 28533.74, 28226.43, 28517.59, 0.00, 0.00
2021-12-20,00:00:00, 28325.46, 28441.51, 27893.18, 27937.81, 0.00, 0.00
2021-12-17,00:00:00, 28854.60, 28904.94, 28503.08, 28545.68, 0.00, 0.00
2021-12-16,00:00:00, 28868.37, 29070.08, 28782.19, 29066.32, 0.00, 0.00
2021-12-15,00:00:00, 28358.47, 28525.83, 28358.47, 28459.72, 0.00, 0.00
2021-12-14,00:00:00, 28554.86, 28672.96, 28309.67, 28432.64, 0.00, 0.00
2021-12-13,00:00:00, 28705.26, 28793.32, 28593.45, 28640.49, 0.00, 0.00
2021-12-10,00:00:00, 28542.50, 28699.01, 28392.87, 28437.77, 0.00, 0.00
2021-12-09,00:00:00, 28827.32, 28908.29, 28725.47, 28725.47, 0.00, 0.00
2021-12-08,00:00:00, 28792.89, 28897.44, 28621.47, 28860.62, 0.00, 0.00
2021-12-07,00:00:00, 28138.82, 28618.46, 27961.66, 28455.60, 0.00, 0.00
2021-12-06,00:00:00, 28069.96, 28081.04, 27693.91, 27927.37, 0.00, 0.00
2021-12-03,00:00:00, 27841.05, 28029.57, 27588.61, 28029.57, 0.00, 0.00
2021-12-02,00:00:00, 27716.20, 27938.55, 27644.96, 27753.37, 0.00, 0.00
2021-12-01,00:00:00, 27866.73, 28106.30, 27594.01, 27935.62, 0.00, 0.00
2021-11-30,00:00:00, 28611.73, 28718.70, 27819.14, 27821.76, 0.00, 0.00
2021-11-29,00:00:00, 28337.96, 28776.34, 28187.12, 28283.92, 0.00, 0.00
2021-11-26,00:00:00, 29324.47, 29332.99, 28605.61, 28751.62, 0.00, 0.00
2021-11-25,00:00:00, 29469.65, 29570.42, 29444.45, 29499.28, 0.00, 0.00
2021-11-24,00:00:00, 29663.45, 29758.05, 29212.93, 29302.66, 0.00, 0.00
2021-11-22,00:00:00, 29618.55, 29806.49, 29542.29, 29774.11, 0.00, 0.00
2021-11-19,00:00:00, 29641.05, 29768.54, 29589.19, 29745.87, 0.00, 0.00
2021-11-18,00:00:00, 29597.93, 29715.95, 29402.57, 29598.66, 0.00, 0.00
2021-11-17,00:00:00, 29906.68, 29909.97, 29623.79, 29688.33, 0.00, 0.00
2021-11-16,00:00:00, 29749.71, 29960.93, 29681.25, 29808.12, 0.00, 0.00
2021-11-15,00:00:00, 29807.37, 29861.88, 29718.21, 29776.80, 0.00, 0.00
